,0,v1
0,boat still mom check yo half nake,ham
1,bank granit issu strong buy explos pick member 300 nasdaq symbol cdgt 5 00 per,ham
2,r give second chanc rahul dengra,spam
3,play smash bro lt gt religi,ham
4,privat 2003 account statement 07973788240 show 800 un redeem point call 08715203649 identifi code 40533 expir 31 10 04,ham
5,g say never answer text confirm deni,spam
6,88066 88066 lost 3pound help,ham
7,okey dokey û bit sort stuff,ham
9,wah lucki man save money hee,spam
10,much better thank lol,ham
11,madam regret disturb might receiv refer check dlf premarica kindli inform rgd rakhesh kerala,spam
13,ok,ham
14,ì_ decid faster co si go home liao,ham
16,amaz rearrang letter give mean dormitori dirti room astronom moon starer eye see elect result lie let recount mother law woman hitler eleven plu two twelv plu one amaz,ham
18,k actual guy meet sunoco howard right way,ham
19,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,spam
20,oh yeah diet flew window,ham
21,watch cartoon listen music amp eve go templ amp church u,ham
22,india win level seri mean record,ham
24,tell said eat shit,ham
25,oh phone phone disconnect,ham
27,hey sweet wonder moment might come want send file someon go yahoo connect suck rememb set page go download format disc could tell know way download big file download stuff directli internet help would great prey teas kiss,ham
28,puriti friendship two smile read forward messag smile see name gud evng,ham
30,place man,ham
31,welp appar retir,ham
32,haha money leh later got go tuition haha look empti slot drive lesson,ham
34,k call close,spam
35,wat late still earli mah juz go 4 dinner lor aiya dunno,ham
36,yup paragon havent decid whether 2 cut yet hee,ham
38,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,ham
39,great run ttyl,ham
40,hello love goe day wish well fine babe hope find job prospect miss boytoy teas kiss,ham
41,zoe hit 2 im fuck shitin il defo tri hardest 2 cum 2morow luv u million lekdog,ham
42,text way cup stop work bu,spam
45,tell pa pain de,ham
46,got seventeen pound seven hundr ml ûò hope ok,ham
48,kate jackson rec center 7ish right,ham
49,k k congratul,ham
50,whatsup dont u want sleep,ham
51,88066 lost å 12 help,ham
52,japanes proverb one u none u must indian version one let none leav final kerala version one stop none make strike,ham
53,search 4 happi 1 main sourc unhappi accept life way come u find happi everi moment u live,ham
54,ok,spam
55,faith make thing possibl hope make thing work love make thing beauti may three christma merri christma,ham
56,ok c ya,spam
57,class holla later,ham
58,buy space invad 4 chanc 2 win orig arcad game consol press 0 game arcad std wap charg see o2 co uk game 4 term set purchas,ham
59,hous water dock boat roll newscast dabbl jazz flute behind wheel,ham
60,oh babi hous come dont new pictur facebook,ham
62,gud mrng dear nice day,ham
64,say slowli god love amp need clean heart blood send ten special peopl amp u c miracl tomorrow pl pl,ham
66,wait know wesley town bet hella drug,ham
67,problem renew right away dont know detail,spam
68,part initi understand,spam
70,stand away heart ach without wonder crave,ham
71,urgent import inform o2 user today lucki day 2 find log onto http www urawinn com fantast surpris await,ham
72,2 oz guy kinda flaki one friend interest pick lt gt worth tonight possibl,ham
73,wait machan call free,ham
74,honeybe said sweetest world god laugh amp said wait u havnt met person read msg moral even god crack joke gm gn ge gn,ham
75,ga station go,ham
76,ye amma life take lot turn sit tri hold steer,ham
77,hmm shall bring bottl wine keep us amus joke still bring bottl red white see tomorrow,ham
78,sorri miss babe late slept hope enjoy drive lesson boytoy miss teas kiss,ham
81,noth realli make sure everybodi speed,ham
